service_id,freelancer_id,title,description
1,112,Music Video Editing,Dynamic music video with beat-synced cuts and effects
2,82,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
3,88,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
4,128,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
5,66,Event Recap Video,Engaging event recap with highlights and graphics
6,31,Product Review Edit,Clean product review with graphics and call-to-action
7,241,Cinematic Color Grade,Film-grade color correction and grading for any footage
8,497,Gaming Montage Editing,High energy gaming edits with effects and music sync
9,10,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
10,273,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
11,682,Product Review Edit,Clean product review with graphics and call-to-action
12,809,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
13,100,Corporate Promo Video,Polished corporate promo with branding and animations
14,535,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
15,385,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
16,533,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
17,955,Cinematic Color Grade,Film-grade color correction and grading for any footage
18,485,Event Recap Video,Engaging event recap with highlights and graphics
19,619,Interview Editing,Professional interview edit with lower thirds and cutaways
20,345,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
21,699,Event Recap Video,Engaging event recap with highlights and graphics
22,323,Documentary Editing,Story-driven documentary with interviews and B-roll
23,964,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
24,682,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
25,388,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
26,59,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
27,895,Event Recap Video,Engaging event recap with highlights and graphics
28,826,Gaming Montage Editing,High energy gaming edits with effects and music sync
29,4,Animation & Motion Graphics,Custom animations and motion graphics for any video
30,892,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
31,743,Wedding Highlight Reel,Emotional highlight reel with music and color grade
32,27,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
33,126,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
34,287,Documentary Editing,Story-driven documentary with interviews and B-roll
35,378,Animation & Motion Graphics,Custom animations and motion graphics for any video
36,634,Cinematic Color Grade,Film-grade color correction and grading for any footage
37,528,Interview Editing,Professional interview edit with lower thirds and cutaways
38,677,Corporate Promo Video,Polished corporate promo with branding and animations
39,4,Event Recap Video,Engaging event recap with highlights and graphics
40,18,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
41,895,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
42,993,Event Recap Video,Engaging event recap with highlights and graphics
43,695,Animation & Motion Graphics,Custom animations and motion graphics for any video
44,240,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
45,497,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
46,757,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
47,814,Podcast Video Editing,Clean podcast editing with audio sync and visuals
48,357,Interview Editing,Professional interview edit with lower thirds and cutaways
49,962,Cinematic Color Grade,Film-grade color correction and grading for any footage
50,675,Gaming Montage Editing,High energy gaming edits with effects and music sync
51,752,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
52,301,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
53,200,Wedding Highlight Reel,Emotional highlight reel with music and color grade
54,891,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
55,898,Product Review Edit,Clean product review with graphics and call-to-action
56,804,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
57,33,Wedding Highlight Reel,Emotional highlight reel with music and color grade
58,510,Podcast Video Editing,Clean podcast editing with audio sync and visuals
59,309,Fitness Transformation Video,Before and after fitness video with energetic music
60,896,Animation & Motion Graphics,Custom animations and motion graphics for any video
61,173,Animation & Motion Graphics,Custom animations and motion graphics for any video
62,978,Gaming Montage Editing,High energy gaming edits with effects and music sync
63,494,Fitness Transformation Video,Before and after fitness video with energetic music
64,247,Documentary Editing,Story-driven documentary with interviews and B-roll
65,217,Music Video Editing,Dynamic music video with beat-synced cuts and effects
66,772,Podcast Video Editing,Clean podcast editing with audio sync and visuals
67,109,Interview Editing,Professional interview edit with lower thirds and cutaways
68,733,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
69,165,Event Recap Video,Engaging event recap with highlights and graphics
70,925,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
71,785,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
72,226,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
73,682,Cinematic Color Grade,Film-grade color correction and grading for any footage
74,975,Gaming Montage Editing,High energy gaming edits with effects and music sync
75,682,Wedding Highlight Reel,Emotional highlight reel with music and color grade
76,945,Fitness Transformation Video,Before and after fitness video with energetic music
77,649,Cinematic Color Grade,Film-grade color correction and grading for any footage
78,93,Event Recap Video,Engaging event recap with highlights and graphics
79,893,Documentary Editing,Story-driven documentary with interviews and B-roll
80,955,Product Review Edit,Clean product review with graphics and call-to-action
81,785,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
82,67,Event Recap Video,Engaging event recap with highlights and graphics
83,387,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
84,670,Fitness Transformation Video,Before and after fitness video with energetic music
85,990,Interview Editing,Professional interview edit with lower thirds and cutaways
86,828,Documentary Editing,Story-driven documentary with interviews and B-roll
87,229,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
88,119,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
89,90,Gaming Montage Editing,High energy gaming edits with effects and music sync
90,92,Event Recap Video,Engaging event recap with highlights and graphics
91,759,Product Review Edit,Clean product review with graphics and call-to-action
92,960,Corporate Promo Video,Polished corporate promo with branding and animations
93,763,Gaming Montage Editing,High energy gaming edits with effects and music sync
94,587,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
95,131,Event Recap Video,Engaging event recap with highlights and graphics
96,977,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
97,591,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
98,319,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
99,605,Fitness Transformation Video,Before and after fitness video with energetic music
100,195,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
101,434,Event Recap Video,Engaging event recap with highlights and graphics
102,790,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
103,817,Wedding Highlight Reel,Emotional highlight reel with music and color grade
104,533,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
105,605,Documentary Editing,Story-driven documentary with interviews and B-roll
106,110,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
107,10,Fitness Transformation Video,Before and after fitness video with energetic music
108,873,Animation & Motion Graphics,Custom animations and motion graphics for any video
109,324,Wedding Highlight Reel,Emotional highlight reel with music and color grade
110,836,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
111,858,Documentary Editing,Story-driven documentary with interviews and B-roll
112,512,Animation & Motion Graphics,Custom animations and motion graphics for any video
113,151,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
114,291,Wedding Highlight Reel,Emotional highlight reel with music and color grade
115,765,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
116,614,Event Recap Video,Engaging event recap with highlights and graphics
117,317,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
118,706,Gaming Montage Editing,High energy gaming edits with effects and music sync
119,281,Product Review Edit,Clean product review with graphics and call-to-action
120,490,Corporate Promo Video,Polished corporate promo with branding and animations
121,507,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
122,722,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
123,61,Event Recap Video,Engaging event recap with highlights and graphics
124,157,Corporate Promo Video,Polished corporate promo with branding and animations
125,869,Documentary Editing,Story-driven documentary with interviews and B-roll
126,718,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
127,946,Music Video Editing,Dynamic music video with beat-synced cuts and effects
128,878,Cinematic Color Grade,Film-grade color correction and grading for any footage
129,745,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
130,307,Music Video Editing,Dynamic music video with beat-synced cuts and effects
131,23,Fitness Transformation Video,Before and after fitness video with energetic music
132,402,Event Recap Video,Engaging event recap with highlights and graphics
133,433,Cinematic Color Grade,Film-grade color correction and grading for any footage
134,357,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
135,401,Podcast Video Editing,Clean podcast editing with audio sync and visuals
136,541,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
137,290,Corporate Promo Video,Polished corporate promo with branding and animations
138,718,Fitness Transformation Video,Before and after fitness video with energetic music
139,404,Gaming Montage Editing,High energy gaming edits with effects and music sync
140,135,Event Recap Video,Engaging event recap with highlights and graphics
141,771,Product Review Edit,Clean product review with graphics and call-to-action
142,887,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
143,871,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
144,469,Music Video Editing,Dynamic music video with beat-synced cuts and effects
145,592,Wedding Highlight Reel,Emotional highlight reel with music and color grade
146,453,Cinematic Color Grade,Film-grade color correction and grading for any footage
147,299,Wedding Highlight Reel,Emotional highlight reel with music and color grade
148,215,Corporate Promo Video,Polished corporate promo with branding and animations
149,824,Corporate Promo Video,Polished corporate promo with branding and animations
150,753,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
151,371,Product Review Edit,Clean product review with graphics and call-to-action
152,105,Wedding Highlight Reel,Emotional highlight reel with music and color grade
153,386,Interview Editing,Professional interview edit with lower thirds and cutaways
154,696,Music Video Editing,Dynamic music video with beat-synced cuts and effects
155,949,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
156,99,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
157,998,Cinematic Color Grade,Film-grade color correction and grading for any footage
158,184,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
159,121,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
160,666,Event Recap Video,Engaging event recap with highlights and graphics
161,608,Interview Editing,Professional interview edit with lower thirds and cutaways
162,994,Wedding Highlight Reel,Emotional highlight reel with music and color grade
163,643,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
164,251,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
165,122,Documentary Editing,Story-driven documentary with interviews and B-roll
166,407,Cinematic Color Grade,Film-grade color correction and grading for any footage
167,310,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
168,978,Music Video Editing,Dynamic music video with beat-synced cuts and effects
169,669,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
170,795,Podcast Video Editing,Clean podcast editing with audio sync and visuals
171,797,Animation & Motion Graphics,Custom animations and motion graphics for any video
172,886,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
173,282,Animation & Motion Graphics,Custom animations and motion graphics for any video
174,377,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
175,123,Gaming Montage Editing,High energy gaming edits with effects and music sync
176,85,Gaming Montage Editing,High energy gaming edits with effects and music sync
177,501,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
178,231,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
179,601,Product Review Edit,Clean product review with graphics and call-to-action
180,587,Cinematic Color Grade,Film-grade color correction and grading for any footage
181,281,Gaming Montage Editing,High energy gaming edits with effects and music sync
182,814,Product Review Edit,Clean product review with graphics and call-to-action
183,186,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
184,496,Interview Editing,Professional interview edit with lower thirds and cutaways
185,306,Product Review Edit,Clean product review with graphics and call-to-action
186,129,Gaming Montage Editing,High energy gaming edits with effects and music sync
187,334,Podcast Video Editing,Clean podcast editing with audio sync and visuals
188,731,Fitness Transformation Video,Before and after fitness video with energetic music
189,190,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
190,833,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
191,404,Fitness Transformation Video,Before and after fitness video with energetic music
192,838,Fitness Transformation Video,Before and after fitness video with energetic music
193,803,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
194,501,Podcast Video Editing,Clean podcast editing with audio sync and visuals
195,532,Product Review Edit,Clean product review with graphics and call-to-action
196,552,Gaming Montage Editing,High energy gaming edits with effects and music sync
197,772,Corporate Promo Video,Polished corporate promo with branding and animations
198,989,Gaming Montage Editing,High energy gaming edits with effects and music sync
199,186,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
200,712,Music Video Editing,Dynamic music video with beat-synced cuts and effects
201,6,Fitness Transformation Video,Before and after fitness video with energetic music
202,458,Event Recap Video,Engaging event recap with highlights and graphics
203,126,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
204,132,Product Review Edit,Clean product review with graphics and call-to-action
205,212,Music Video Editing,Dynamic music video with beat-synced cuts and effects
206,90,Fitness Transformation Video,Before and after fitness video with energetic music
207,263,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
208,87,Gaming Montage Editing,High energy gaming edits with effects and music sync
209,519,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
210,373,Fitness Transformation Video,Before and after fitness video with energetic music
211,176,Interview Editing,Professional interview edit with lower thirds and cutaways
212,968,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
213,255,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
214,48,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
215,927,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
216,675,Fitness Transformation Video,Before and after fitness video with energetic music
217,456,Wedding Highlight Reel,Emotional highlight reel with music and color grade
218,591,Cinematic Color Grade,Film-grade color correction and grading for any footage
219,712,Event Recap Video,Engaging event recap with highlights and graphics
220,536,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
221,621,Fitness Transformation Video,Before and after fitness video with energetic music
222,523,Corporate Promo Video,Polished corporate promo with branding and animations
223,705,Gaming Montage Editing,High energy gaming edits with effects and music sync
224,679,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
225,243,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
226,193,Wedding Highlight Reel,Emotional highlight reel with music and color grade
227,307,Corporate Promo Video,Polished corporate promo with branding and animations
228,981,Wedding Highlight Reel,Emotional highlight reel with music and color grade
229,617,Fitness Transformation Video,Before and after fitness video with energetic music
230,222,Product Review Edit,Clean product review with graphics and call-to-action
231,368,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
232,132,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
233,433,Podcast Video Editing,Clean podcast editing with audio sync and visuals
234,564,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
235,267,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
236,666,Music Video Editing,Dynamic music video with beat-synced cuts and effects
237,410,Animation & Motion Graphics,Custom animations and motion graphics for any video
238,86,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
239,693,Interview Editing,Professional interview edit with lower thirds and cutaways
240,963,Wedding Highlight Reel,Emotional highlight reel with music and color grade
241,549,Corporate Promo Video,Polished corporate promo with branding and animations
242,73,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
243,649,Corporate Promo Video,Polished corporate promo with branding and animations
244,732,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
245,578,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
246,620,Music Video Editing,Dynamic music video with beat-synced cuts and effects
247,430,Wedding Highlight Reel,Emotional highlight reel with music and color grade
248,324,Interview Editing,Professional interview edit with lower thirds and cutaways
249,389,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
250,988,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
251,254,Podcast Video Editing,Clean podcast editing with audio sync and visuals
252,277,Gaming Montage Editing,High energy gaming edits with effects and music sync
253,545,Gaming Montage Editing,High energy gaming edits with effects and music sync
254,701,Fitness Transformation Video,Before and after fitness video with energetic music
255,417,Podcast Video Editing,Clean podcast editing with audio sync and visuals
256,338,Podcast Video Editing,Clean podcast editing with audio sync and visuals
257,372,Event Recap Video,Engaging event recap with highlights and graphics
258,797,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
259,150,Documentary Editing,Story-driven documentary with interviews and B-roll
260,281,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
261,101,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
262,993,Documentary Editing,Story-driven documentary with interviews and B-roll
263,388,Gaming Montage Editing,High energy gaming edits with effects and music sync
264,802,Gaming Montage Editing,High energy gaming edits with effects and music sync
265,180,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
266,746,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
267,603,Cinematic Color Grade,Film-grade color correction and grading for any footage
268,98,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
269,358,Product Review Edit,Clean product review with graphics and call-to-action
270,887,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
271,565,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
272,623,Gaming Montage Editing,High energy gaming edits with effects and music sync
273,919,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
274,175,Event Recap Video,Engaging event recap with highlights and graphics
275,970,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
276,186,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
277,826,Fitness Transformation Video,Before and after fitness video with energetic music
278,565,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
279,904,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
280,489,Product Review Edit,Clean product review with graphics and call-to-action
281,131,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
282,10,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
283,731,Wedding Highlight Reel,Emotional highlight reel with music and color grade
284,674,Wedding Highlight Reel,Emotional highlight reel with music and color grade
285,147,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
286,582,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
287,55,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
288,725,Documentary Editing,Story-driven documentary with interviews and B-roll
289,695,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
290,429,Animation & Motion Graphics,Custom animations and motion graphics for any video
291,188,Animation & Motion Graphics,Custom animations and motion graphics for any video
292,363,Animation & Motion Graphics,Custom animations and motion graphics for any video
293,515,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
294,283,Interview Editing,Professional interview edit with lower thirds and cutaways
295,534,Documentary Editing,Story-driven documentary with interviews and B-roll
296,313,Podcast Video Editing,Clean podcast editing with audio sync and visuals
297,971,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
298,417,Event Recap Video,Engaging event recap with highlights and graphics
299,866,Podcast Video Editing,Clean podcast editing with audio sync and visuals
300,650,Podcast Video Editing,Clean podcast editing with audio sync and visuals
301,79,Documentary Editing,Story-driven documentary with interviews and B-roll
302,968,Podcast Video Editing,Clean podcast editing with audio sync and visuals
303,170,Product Review Edit,Clean product review with graphics and call-to-action
304,59,Podcast Video Editing,Clean podcast editing with audio sync and visuals
305,762,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
306,568,Cinematic Color Grade,Film-grade color correction and grading for any footage
307,828,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
308,986,Interview Editing,Professional interview edit with lower thirds and cutaways
309,694,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
310,955,Wedding Highlight Reel,Emotional highlight reel with music and color grade
311,492,Cinematic Color Grade,Film-grade color correction and grading for any footage
312,528,Fitness Transformation Video,Before and after fitness video with energetic music
313,715,Gaming Montage Editing,High energy gaming edits with effects and music sync
314,416,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
315,632,Corporate Promo Video,Polished corporate promo with branding and animations
316,933,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
317,732,Interview Editing,Professional interview edit with lower thirds and cutaways
318,720,Fitness Transformation Video,Before and after fitness video with energetic music
319,768,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
320,251,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
321,701,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
322,44,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
323,460,Music Video Editing,Dynamic music video with beat-synced cuts and effects
324,691,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
325,926,Documentary Editing,Story-driven documentary with interviews and B-roll
326,180,Podcast Video Editing,Clean podcast editing with audio sync and visuals
327,376,Wedding Highlight Reel,Emotional highlight reel with music and color grade
328,527,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
329,976,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
330,433,Cinematic Color Grade,Film-grade color correction and grading for any footage
331,389,Music Video Editing,Dynamic music video with beat-synced cuts and effects
332,383,Gaming Montage Editing,High energy gaming edits with effects and music sync
333,347,Documentary Editing,Story-driven documentary with interviews and B-roll
334,852,Fitness Transformation Video,Before and after fitness video with energetic music
